Date,Open,High,Low,Close,Volume,Adj Close,Drawdown
2010-11-19,10326.7,10327.4,10133.2,10271.7,333406000,10271.7,-0.35583260690969976
2010-11-22,10388.8,10393.4,9968.3,9996.4,270912000,9996.4,-0.3730974494691358
2010-11-23,9943.3,9943.3,9691.8,9691.8,353051000,9691.8,-0.3921997779965759
2010-11-24,9706.9,9790.3,9567.7,9742.6,284383000,9742.6,-0.3890139661476134
2010-11-25,9790.9,9790.9,9556.1,9721.8,214012000,9721.8,-0.39031839304640115
2010-11-26,9649.4,9652.8,9442.6,9547.2,338450000,9547.2,-0.4012680534564177
2010-11-29,9587.0,9676.7,9312.7,9324.7,356379000,9324.7,-0.4152216585035463
2010-11-30,9362.2,9397.7,9203.4,9267.2,387037000,9267.2,-0.41882764632471436
2010-12-01,9344.2,9715.8,9331.4,9678.4,382574000,9678.4,-0.39304012994098725
2010-12-02,9788.4,9986.5,9549.0,9947.6,449858000,9947.6,-0.37615783565475325
2010-12-03,9915.5,10037.4,9882.9,10014.8,281357000,10014.8,-0.3719435333663621
2010-12-06,10015.9,10034.1,9853.1,9889.9,169558000,9889.9,-0.37977636604225595
2010-12-07,9884.0,10027.9,9826.3,9924.7,254821000,9924.7,-0.37759395950005326
2010-12-08,9865.7,10162.0,9834.3,10078.4,196241000,10078.4,-0.3679549972719919
2010-12-09,10167.7,10230.3,10107.0,10185.5,241240000,10185.5,-0.36123845299986834
2010-12-10,10224.6,10226.2,10064.5,10121.9,190485000,10121.9,-0.36522698909423856
2010-12-13,10165.8,10219.7,10093.7,10151.2,166397000,10151.2,-0.36338950312623464
2010-12-14,10164.6,10181.3,10038.4,10162.7,184160000,10162.7,-0.362668305562001
2010-12-15,10072.5,10080.1,9944.6,10009.8,227045000,10009.8,-0.3722570975247246
2010-12-16,9993.6,10060.1,9919.7,10010.3,192704000,10010.3,-0.3722257411088883
2010-12-17,10057.0,10057.5,9850.1,9898.1,379742000,9898.1,-0.3792621208225415
2010-12-20,9915.6,10057.5,9851.1,9996.1,246700000,9996.1,-0.3731162633186377
2010-12-21,10070.9,10238.9,10037.7,10203.4,187802000,10203.4,-0.3601158933129307
2010-12-22,10214.8,10253.9,10165.8,10183.5,156057000,10183.5,-0.3613638786632133
2010-12-23,10202.3,10220.0,10100.3,10106.9,121337000,10106.9,-0.3661676815693259
2010-12-27,10077.6,10092.9,9854.0,9899.0,131680000,9899.0,-0.37920567927403626
2010-12-28,9916.8,9978.9,9863.0,9903.5,83585000,9903.5,-0.37892347153150996
2010-12-29,9933.6,10011.9,9900.6,9981.5,95653000,9981.5,-0.3740318706610559
2010-12-30,9985.1,9997.7,9858.8,9859.1,155838000,9859.1,-0.3817079212577684
2011-01-03,9899.4,9993.6,9850.5,9888.3,135778000,9888.3,-0.37987670657293193
2011-01-04,9895.5,9974.2,9799.4,9888.4,194824000,9888.4,-0.3798704352897646
2011-01-05,9877.5,9882.4,9599.3,9801.4,241101000,9801.4,-0.38532645164527113
2011-01-06,9803.2,9832.6,9678.4,9702.7,179999000,9702.7,-0.3915162081313457
2011-01-07,9682.4,9699.4,9497.8,9560.7,268083000,9560.7,-0.400421430228839
2011-01-10,9488.3,9491.8,9387.9,9437.8,271713000,9437.8,-0.40812883724138804
2011-01-11,9467.4,9593.0,9404.7,9582.1,270518000,9582.1,-0.3990793756310478
2011-01-12,9606.4,10106.2,9596.0,10101.2,415429000,10101.2,-0.3665251447098591
2011-01-13,10105.8,10410.2,10096.8,10370.8,484937000,10370.8,-0.34961776529095623
2011-01-14,10337.8,10423.0,10249.5,10385.1,292458000,10385.1,-0.3487209717980395
2011-01-17,10328.3,10354.9,10245.5,10280.0,207148000,10280.0,-0.3553120904068181
2011-01-18,10314.2,10591.9,10304.6,10583.4,320746000,10583.4,-0.336285017277385
2011-01-19,10596.7,10618.0,10493.3,10556.5,294236000,10556.5,-0.33797199244937504
2011-01-20,10542.6,10683.0,10515.5,10636.9,365740000,10636.9,-0.332929880782907
2011-01-21,10663.4,10937.6,10660.5,10829.1,441528000,10829.1,-0.32087647453545465
2011-01-24,10852.2,10925.5,10690.3,10815.4,235973000,10815.4,-0.32173564032936774
2011-01-25,10840.8,10855.4,10626.7,10664.4,294500000,10664.4,-0.33120527791191345
2011-01-26,10715.0,10812.3,10668.7,10670.7,229377000,10670.7,-0.33081018707237686
2011-01-27,10644.2,10899.3,10579.9,10828.7,297157000,10828.7,-0.3209015596681236
2011-01-28,10822.0,10961.1,10713.4,10747.0,341939000,10747.0,-0.3260251980157659
2011-01-31,10738.2,10918.6,10603.4,10806.0,266180000,10806.0,-0.3223251409470892
2011-02-01,10886.2,10987.1,10777.1,10967.9,283883000,10967.9,-0.31217193349931327
2011-02-02,11004.2,11044.3,10917.4,11010.2,246889000,11010.2,-0.30951918071956697
2011-02-03,10979.6,11019.1,10756.6,10860.7,362088000,10860.7,-0.318894749054604
2011-02-04,10875.3,10906.3,10770.4,10854.7,228777000,10854.7,-0.31927102604463886
2011-02-07,10854.3,10985.0,10782.3,10922.6,279793000,10922.6,-0.315012824774077
2011-02-08,10921.6,10992.1,10869.4,10965.1,196967000,10965.1,-0.31234752942799626
2011-02-09,10950.6,11053.9,10910.7,10935.6,202681000,10935.6,-0.3141975579623346
2011-02-10,10877.8,10885.3,10685.7,10791.9,276284000,10791.9,-0.32320939187367126
2011-02-11,10771.7,10875.6,10656.4,10803.6,177823000,10803.6,-0.3224756517431031
2011-02-14,10847.6,10894.2,10733.8,10774.7,187491000,10774.7,-0.32428805257843796
2011-02-15,10753.3,10899.6,10719.2,10826.2,180920000,10826.2,-0.32105834174730485
2011-02-16,10852.0,11092.1,10851.0,11047.8,323647000,11047.8,-0.3071611782486815
2011-02-17,11056.2,11149.0,10999.0,11113.0,245438000,11113.0,-0.3030723016236352
2011-02-18,11137.6,11165.0,10961.0,11068.1,325457000,11068.1,-0.30588810776572994
2011-02-21,11049.3,11050.3,10792.2,10810.5,212236000,10810.5,-0.3220429332045629
2011-02-22,10720.2,10792.9,10601.3,10701.9,260887000,10701.9,-0.3288535467241952
2011-02-23,10705.2,10741.0,10611.6,10633.4,217729000,10633.4,-0.3331493756937607
2011-02-24,10563.2,10674.6,10543.3,10647.6,217940000,10647.6,-0.3322588534840113
2011-02-25,10703.0,10848.6,10669.4,10822.7,233462000,10822.7,-0.32127783665815857
2011-02-28,10829.9,10923.0,10730.7,10850.8,216216000,10850.8,-0.31951560608816176
2011-03-01,10898.8,10939.7,10707.4,10761.9,256468000,10761.9,-0.3250907768238459
2011-03-02,10682.0,10710.9,10576.2,10643.8,233014000,10643.8,-0.3324971622443669
2011-03-03,10682.9,10781.9,10512.2,10566.9,262825000,10566.9,-0.3373197789999811
2011-03-04,10596.0,10627.2,10463.8,10498.7,221762000,10498.7,-0.34159679412004484
2011-03-07,10478.1,10623.9,10417.5,10495.7,257321000,10495.7,-0.34178493261506226
2011-03-08,10529.4,10568.7,10412.9,10568.7,198314000,10568.7,-0.3372068959029707
